meter_reading,square_feet,air_temperature,dew_temperature,month,day,primary_use_Education,primary_use_Entertainment/public assembly,primary_use_Food sales and service,primary_use_Healthcare,primary_use_Lodging/residential,primary_use_Manufacturing/industrial,primary_use_Office,primary_use_Other,primary_use_Parking,primary_use_Public services,primary_use_Religious worship,primary_use_Retail,primary_use_Technology/science,primary_use_Utility,site_id_2,site_id_6,site_id_7,site_id_9,site_id_10,site_id_11,site_id_13,site_id_14,site_id_15
9.80327594565193,230259,-10.64683023334197,-0.05643244881776729,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-138.15137814198957,21958,-10.64683023334197,-0.05643244881776729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
42.27433091359128,32841,-10.64683023334197,-0.05643244881776729,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.6663314950037753,33713,-10.64683023334197,-0.05643244881776729,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.035178195147563186,51732,-10.64683023334197,-0.05643244881776729,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,30531,-0.6938878093609953,-0.9394356737028108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,39558,-0.6938878093609953,-0.9394356737028108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,58562,-0.6938878093609953,-0.9394356737028108,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,82911,-0.6938878093609953,-0.9394356737028108,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,93500,-0.6938878093609953,-0.9394356737028108,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,105791,-0.6938878093609953,-0.9394356737028108,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,120836,-0.6938878093609953,-0.9394356737028108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,278795,-0.6938878093609953,-0.9394356737028108,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-44.63626480824982,64583,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-105.19573282209176,86111,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-327.80285661013687,150695,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-366.96912666985526,333681,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,150695,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,731945,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,387500,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.735061761102465,226042,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,764237,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.60100788696671,409028,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,527431,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,64583,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61.35557884611909,484376,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186.49755391356712,290625,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,182986,-7.945543466312837,-0.6713422630206088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136.82103206414928,181805,-0.6938878093609953,0.3053940754239157,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-121.36494973428918,177708,-0.6938878093609953,0.3053940754239157,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.5616028726024735,41241,-0.6938878093609953,0.3053940754239157,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.536261805862726,110235,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-55.254221830554954,157723,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-329.27006442563874,399331,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-25.76681474230756,40697,-0.6938878093609953,0.3053940754239157,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,69799,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12.604414091558638,69754,-0.6938878093609953,0.3053940754239157,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-47.902455702959486,137522,-0.6938878093609953,0.3053940754239157,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-110.81352258129158,126077,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-36.82679320876532,202937,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33017189064186897,50846,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-7.550331656395911,47191,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-93.1469048713252,101555,-0.6938878093609953,0.3053940754239157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
